iter	RMSE
0	153.038446
1	140.5900855
2	129.0890587
3	119.1447479
4	108.907221
5	101.1164773
6	93.39081072
7	86.1740633
8	78.9706461
9	72.84520598
10	67.15158568
11	62.05309533
12	57.54717074
13	53.34524668
14	49.53113437
15	45.68077653
16	42.40662254
17	39.35296938
18	36.8346376
19	34.56114354
20	32.38337063
21	30.10790628
22	28.43856094
23	26.82148453
24	25.24182778
25	23.8779645
26	22.53483675
27	21.39963247
28	20.20302835
29	19.2434757
30	18.31484483
31	17.51701068
32	16.76737216
33	15.93395711
34	15.4091249
35	14.80302534
36	14.20926644
37	13.71270752
38	13.27414453
39	12.86256887
40	12.45570626
41	12.06685344
42	11.70767375
43	11.45393314
44	11.14845253
45	10.80077869
46	10.51492906
47	10.38480599
48	10.09260847
49	9.905651557
50	9.666983932
51	9.452589966
52	9.160232861
53	9.028339414
54	8.947329602
55	8.875377533
56	8.701743158
57	8.627257204
58	8.506597435
59	8.315744174
60	8.23140791
61	8.1379675
62	7.991688874
63	7.875757553
64	7.735677761
65	7.661197817
66	7.580591104
67	7.534146623
68	7.489166858
69	7.442510809
70	7.403353711
71	7.35264973
72	7.314436158
73	7.27224028
74	7.243468498
75	7.122416354
76	7.010327343
77	6.925658665
78	6.896254862
79	6.797589659
80	6.761763014
81	6.733797262
82	6.644332256
83	6.615528429
84	6.597636987
85	6.499394708
86	6.47797719
87	6.458302728
88	6.43918627
89	6.373233597
90	6.330885604
91	6.268648848
92	6.205521109
93	6.175906999
94	6.153372717
95	6.126170242
96	6.056632513
97	6.042803527
98	6.02997183
99	6.017269998
