iter	Passed	Remaining
0	3	328
1	5	292
2	8	275
3	11	282
4	15	287
5	17	277
6	20	269
7	22	263
8	25	257
9	28	253
10	30	248
11	33	243
12	35	239
13	38	235
14	41	233
15	43	230
16	46	226
17	49	223
18	51	220
19	54	217
20	56	213
21	60	215
22	63	212
23	66	209
24	69	207
25	71	203
26	74	202
27	78	201
28	80	197
29	83	195
30	86	191
31	88	188
32	92	187
33	94	184
34	97	180
35	100	179
36	103	176
37	106	173
38	109	170
39	111	167
40	114	164
41	116	161
42	119	158
43	122	156
44	125	153
45	128	150
46	130	147
47	133	144
48	136	141
49	139	139
50	142	136
51	145	133
52	147	130
53	150	127
54	153	125
55	155	122
56	158	119
57	161	116
58	163	113
59	166	110
60	169	108
61	171	105
62	174	102
63	177	99
64	180	96
65	182	94
66	186	91
67	189	89
68	192	86
69	194	83
70	197	80
71	200	77
72	203	75
73	206	72
74	208	69
75	211	66
76	215	64
77	218	61
78	221	58
79	224	56
80	227	53
81	231	50
82	234	48
83	238	45
84	241	42
85	244	39
86	247	37
87	251	34
88	254	31
89	257	28
90	260	25
91	264	22
92	268	20
93	271	17
94	274	14
95	277	11
96	280	8
97	283	5
98	287	2
99	290	0
